,Datetime,Open,High,Low,Close,Volume
0,2024-08-19 04:00:00,474.75,474.75,474.62,474.73,0
1,2024-08-19 04:01:00,474.67,474.77,474.5,474.5,0
2,2024-08-19 04:02:00,474.53,474.58,474.37,474.37,0
3,2024-08-19 04:03:00,474.38,474.38,473.96,473.96,0
4,2024-08-19 04:04:00,473.97,474.1,473.95,474.02,0
5,2024-08-19 04:05:00,473.94,473.94,473.55,473.55,0
6,2024-08-19 04:06:00,473.5,473.53,473.4,473.52,0
7,2024-08-19 04:07:00,473.45,473.51,473.25,473.25,0
8,2024-08-19 04:08:00,473.49,473.54,473.48,473.54,0
9,2024-08-19 04:09:00,473.49,473.67,473.49,473.61,0
10,2024-08-19 04:10:00,473.75,473.84,473.71,473.77,0
11,2024-08-19 04:11:00,473.74,473.84,473.66,473.74,0
12,2024-08-19 04:12:00,473.71,473.72,473.64,473.7,0
13,2024-08-19 04:13:00,473.73,473.75,473.69,473.75,0
14,2024-08-19 04:14:00,473.66,473.68,473.59,473.68,0
15,2024-08-19 04:15:00,473.55,473.9,473.55,473.9,0
16,2024-08-19 04:16:00,473.94,473.96,473.83,473.96,0
17,2024-08-19 04:17:00,473.92,473.92,473.88,473.88,0
18,2024-08-19 04:18:00,473.88,473.93,473.73,473.73,0
19,2024-08-19 04:19:00,473.76,473.82,473.76,473.82,0
20,2024-08-19 04:20:00,473.84,474.05,473.84,474.05,0
21,2024-08-19 04:21:00,474.05,474.06,473.96,474.05,0
22,2024-08-19 04:22:00,474.07,474.1,474.0,474.01,0
23,2024-08-19 04:23:00,474.0,474.0,473.98,473.99,0
24,2024-08-19 04:24:00,473.94,473.99,473.93,473.99,0
25,2024-08-19 04:25:00,473.91,473.96,473.91,473.96,0
26,2024-08-19 04:26:00,473.88,473.93,473.86,473.93,0
27,2024-08-19 04:27:00,473.99,474.07,473.99,474.07,0
28,2024-08-19 04:28:00,474.02,474.02,474.02,474.02,0
29,2024-08-19 04:30:00,474.04,474.11,474.03,474.11,0
30,2024-08-19 04:31:00,474.06,474.06,474.02,474.02,0
31,2024-08-19 04:32:00,474.0,474.0,474.0,474.0,0
32,2024-08-19 04:33:00,473.94,473.94,473.94,473.94,0
33,2024-08-19 04:35:00,474.07,474.07,474.07,474.07,0
34,2024-08-19 04:36:00,474.11,474.17,474.11,474.12,0
35,2024-08-19 04:38:00,474.13,474.13,474.1,474.1,0
36,2024-08-19 04:39:00,474.01,474.01,473.9,473.9,0
37,2024-08-19 04:41:00,473.85,473.85,473.78,473.78,0
38,2024-08-19 04:42:00,473.85,473.85,473.85,473.85,0
39,2024-08-19 04:43:00,473.81,473.81,473.7,473.7,0
40,2024-08-19 04:44:00,473.75,474.02,473.75,474.0,0
41,2024-08-19 04:45:00,473.96,474.01,473.96,474.01,0
42,2024-08-19 04:46:00,474.08,474.21,474.08,474.21,0
43,2024-08-19 04:48:00,474.2,474.2,474.17,474.17,0
44,2024-08-19 04:49:00,474.19,474.19,474.19,474.19,0
45,2024-08-19 04:50:00,474.1,474.1,474.02,474.02,0
46,2024-08-19 04:51:00,473.96,473.97,473.96,473.97,0
47,2024-08-19 04:52:00,474.2,474.2,474.2,474.2,0
48,2024-08-19 04:53:00,474.18,474.3,474.18,474.28,0
49,2024-08-19 04:54:00,474.25,474.28,474.25,474.28,0
50,2024-08-19 04:57:00,474.3,474.3,474.3,474.3,0
51,2024-08-19 04:58:00,474.31,474.33,474.31,474.33,0
52,2024-08-19 05:00:00,474.31,474.31,474.31,474.31,0
53,2024-08-19 05:02:00,474.17,474.17,474.16,474.16,0
54,2024-08-19 05:03:00,474.08,474.08,474.01,474.01,0
55,2024-08-19 05:04:00,474.08,474.11,474.08,474.11,0
56,2024-08-19 05:05:00,474.0,474.1,474.0,474.04,0
57,2024-08-19 05:06:00,474.08,474.08,474.03,474.03,0
58,2024-08-19 05:07:00,474.0,474.0,474.0,474.0,0
59,2024-08-19 05:08:00,473.9,473.9,473.83,473.87,0
60,2024-08-19 05:09:00,473.9,474.0,473.9,473.93,0
61,2024-08-19 05:10:00,473.9,473.9,473.8,473.8,0
62,2024-08-19 05:11:00,473.77,473.82,473.77,473.77,0
63,2024-08-19 05:12:00,473.8,473.81,473.7,473.7,0
64,2024-08-19 05:13:00,473.75,473.79,473.7,473.76,0
