,Datetime,Open,High,Low,Close,Volume
0,2024-08-23 04:00:00,512.25,514.8,512.25,512.8,0
1,2024-08-23 04:01:00,512.91,513.08,512.85,513.08,0
2,2024-08-23 04:02:00,513.0,513.06,512.97,513.06,0
3,2024-08-23 04:03:00,513.0,513.04,513.0,513.0,0
4,2024-08-23 04:04:00,513.02,513.11,513.01,513.09,0
5,2024-08-23 04:05:00,513.12,513.16,513.07,513.07,0
6,2024-08-23 04:06:00,513.16,513.16,513.14,513.14,0
7,2024-08-23 04:07:00,513.17,513.17,513.14,513.14,0
8,2024-08-23 04:08:00,513.14,513.14,513.07,513.1,0
9,2024-08-23 04:09:00,513.1,513.1,513.1,513.1,0
10,2024-08-23 04:10:00,513.08,513.11,513.08,513.1,0
11,2024-08-23 04:11:00,513.1,513.11,513.1,513.11,0
12,2024-08-23 04:12:00,513.16,513.16,513.16,513.16,0
13,2024-08-23 04:13:00,513.13,513.21,513.11,513.15,0
14,2024-08-23 04:14:00,513.17,513.17,513.17,513.17,0
15,2024-08-23 04:15:00,513.16,513.16,513.08,513.08,0
16,2024-08-23 04:16:00,513.15,513.15,513.15,513.15,0
17,2024-08-23 04:17:00,513.2,513.23,513.2,513.23,0
18,2024-08-23 04:18:00,513.21,513.21,513.21,513.21,0
19,2024-08-23 04:19:00,513.21,513.21,513.15,513.15,0
20,2024-08-23 04:20:00,513.2,513.2,513.2,513.2,0
21,2024-08-23 04:21:00,513.21,513.21,513.17,513.17,0
22,2024-08-23 04:22:00,513.21,513.21,513.21,513.21,0
23,2024-08-23 04:23:00,513.24,513.24,513.21,513.24,0
24,2024-08-23 04:24:00,513.24,513.31,513.24,513.31,0
25,2024-08-23 04:25:00,513.26,513.26,513.18,513.18,0
26,2024-08-23 04:26:00,513.24,513.24,513.24,513.24,0
27,2024-08-23 04:27:00,513.23,513.24,513.19,513.24,0
28,2024-08-23 04:28:00,513.24,513.24,513.24,513.24,0
29,2024-08-23 04:29:00,513.24,513.24,513.24,513.24,0
30,2024-08-23 04:30:00,513.27,513.27,513.27,513.27,0
31,2024-08-23 04:31:00,513.31,513.31,513.31,513.31,0
32,2024-08-23 04:32:00,513.25,513.31,513.25,513.31,0
33,2024-08-23 04:33:00,513.33,513.33,513.33,513.33,0
34,2024-08-23 04:35:00,513.26,513.34,513.26,513.34,0
35,2024-08-23 04:36:00,513.35,513.35,513.34,513.34,0
36,2024-08-23 04:37:00,513.33,513.33,513.33,513.33,0
37,2024-08-23 04:38:00,513.33,513.34,513.33,513.34,0
38,2024-08-23 04:40:00,513.32,513.32,513.28,513.28,0
39,2024-08-23 04:41:00,513.24,513.28,513.24,513.28,0
40,2024-08-23 04:42:00,513.29,513.29,513.29,513.29,0
41,2024-08-23 04:45:00,513.37,513.37,513.37,513.37,0
42,2024-08-23 04:46:00,513.45,513.45,513.39,513.39,0
43,2024-08-23 04:47:00,513.49,513.49,513.49,513.49,0
44,2024-08-23 04:48:00,513.54,513.54,513.52,513.52,0
45,2024-08-23 04:49:00,513.52,513.52,513.52,513.52,0
46,2024-08-23 04:51:00,513.48,513.48,513.45,513.45,0
47,2024-08-23 04:52:00,513.45,513.52,513.45,513.52,0
48,2024-08-23 04:53:00,513.52,513.52,513.52,513.52,0
49,2024-08-23 04:54:00,513.52,513.52,513.52,513.52,0
50,2024-08-23 04:55:00,513.56,513.56,513.56,513.56,0
51,2024-08-23 04:58:00,513.53,513.53,513.53,513.53,0
52,2024-08-23 05:01:00,513.59,513.59,513.52,513.55,0
53,2024-08-23 05:02:00,513.53,513.53,513.45,513.45,0
54,2024-08-23 05:03:00,513.47,513.47,513.39,513.39,0
55,2024-08-23 05:04:00,513.44,513.44,513.44,513.44,0
56,2024-08-23 05:05:00,513.46,513.47,513.46,513.46,0
57,2024-08-23 05:06:00,513.46,513.47,513.4,513.4,0
58,2024-08-23 05:07:00,513.44,513.44,513.43,513.43,0
59,2024-08-23 05:08:00,513.43,513.43,513.38,513.38,0
60,2024-08-23 05:10:00,513.38,513.38,513.38,513.38,0
61,2024-08-23 05:12:00,513.41,513.43,513.36,513.36,0
62,2024-08-23 05:13:00,513.36,513.36,513.3,513.36,0
63,2024-08-23 05:14:00,513.36,513.36,513.36,513.36,0
64,2024-08-23 05:15:00,513.37,513.37,513.37,513.37,0
65,2024-08-23 05:16:00,513.39,513.39,513.39,513.39,0
66,2024-08-23 05:17:00,513.43,513.43,513.43,513.43,0
67,2024-08-23 05:19:00,513.46,513.46,513.39,513.39,0
68,2024-08-23 05:20:00,513.39,513.46,513.37,513.38,0
69,2024-08-23 05:21:00,513.31,513.31,513.31,513.31,0
70,2024-08-23 05:22:00,513.36,513.36,513.27,513.27,0
71,2024-08-23 05:23:00,513.26,513.34,513.26,513.27,0
72,2024-08-23 05:24:00,513.37,513.37,513.37,513.37,0
73,2024-08-23 05:25:00,513.38,513.38,513.38,513.38,0
74,2024-08-23 05:27:00,513.4,513.4,513.4,513.4,0
75,2024-08-23 05:28:00,513.46,513.46,513.46,513.46,0
76,2024-08-23 05:30:00,513.59,513.59,513.59,513.59,0
77,2024-08-23 05:31:00,513.63,513.63,513.63,513.63,0
78,2024-08-23 05:33:00,513.59,513.62,513.52,513.52,0
79,2024-08-23 05:35:00,513.57,513.6,513.57,513.6,0
80,2024-08-23 05:37:00,513.65,513.7,513.65,513.7,0
81,2024-08-23 05:38:00,513.71,513.71,513.71,513.71,0
82,2024-08-23 05:39:00,513.72,513.72,513.72,513.72,0
83,2024-08-23 05:40:00,513.76,513.76,513.76,513.76,0
84,2024-08-23 05:41:00,513.75,513.75,513.75,513.75,0
85,2024-08-23 05:42:00,513.75,513.75,513.75,513.75,0
86,2024-08-23 05:44:00,513.7,513.7,513.7,513.7,0
87,2024-08-23 05:46:00,513.7,513.7,513.7,513.7,0
88,2024-08-23 05:48:00,513.7,513.7,513.7,513.7,0
89,2024-08-23 05:50:00,513.76,513.76,513.76,513.76,0
90,2024-08-23 05:51:00,513.76,513.76,513.76,513.76,0
91,2024-08-23 05:52:00,513.76,513.76,513.76,513.76,0
92,2024-08-23 05:53:00,513.76,513.76,513.71,513.71,0
93,2024-08-23 05:54:00,513.76,513.76,513.76,513.76,0
94,2024-08-23 05:55:00,513.7,513.74,513.68,513.68,0
95,2024-08-23 05:56:00,513.69,513.74,513.69,513.74,0
96,2024-08-23 05:58:00,513.76,513.76,513.76,513.76,0
97,2024-08-23 05:59:00,513.76,513.76,513.76,513.76,0
98,2024-08-23 06:00:00,513.75,513.75,513.72,513.72,0
99,2024-08-23 06:01:00,513.68,513.68,513.68,513.68,0
100,2024-08-23 06:02:00,513.67,513.67,513.67,513.67,0
101,2024-08-23 06:04:00,513.76,513.88,513.76,513.82,0
